Frequency (Hz)	Level (dB)
195.144653	-71.831093
195.817566	-70.623016
196.490479	-70.866882
197.163391	-69.595222
197.836304	-70.683395
198.509216	-67.616287
199.182129	-69.563766
199.855042	-74.027641
200.527954	-74.228027
201.200867	-70.587234
201.873779	-67.781113
202.546692	-70.991402
203.219604	-70.835541
203.892517	-69.330971
204.565430	-72.034279
205.238342	-73.536919
205.911255	-70.083099
206.584167	-71.390160
207.257080	-73.577026
207.929993	-72.740257
208.602905	-70.349625
209.275818	-70.822853
209.948730	-70.282349
210.621643	-70.679138
211.294556	-70.584717
211.967468	-72.830582
212.640381	-72.103851
213.313293	-69.848236
213.986206	-70.696236
214.659119	-71.696159
215.332031	-69.397545
216.004944	-71.889999
216.677856	-70.106438
217.350769	-70.101509
218.023682	-72.641586
218.696594	-71.032036
219.369507	-69.921906
220.042419	-71.651489
220.715332	-72.857109
221.388245	-71.346222
222.061157	-70.581360
222.734070	-70.301834
223.406982	-68.875748
224.079895	-69.957191
224.752808	-71.459312
225.425720	-68.025169
226.098633	-69.034462
226.771545	-67.497284
227.444458	-69.251770
228.117371	-70.983536
228.790283	-70.154366
229.463196	-69.648506
230.136108	-68.777306
230.809021	-68.298920
231.481934	-69.106827
232.154846	-70.765625
232.827759	-71.575203
233.500671	-68.048538
234.173584	-70.889328
234.846497	-68.331108
235.519409	-68.070717
236.192322	-69.247520
236.865234	-69.293663
237.538147	-69.455284
238.211060	-69.319656
238.883972	-67.687134
239.556885	-69.456383
240.229797	-68.374779
240.902710	-67.112534
241.575623	-66.787727
242.248535	-64.980904
242.921448	-66.852043
243.594360	-68.328873
244.267273	-67.790359
244.940186	-66.527931
245.613098	-65.757423
246.286011	-64.850479
246.958923	-66.265945
247.631836	-65.529106
248.304749	-66.336426
248.977661	-68.248299
249.650574	-66.389153
250.323486	-65.534927
250.996399	-65.717682
251.669312	-66.984856
252.342224	-65.358772
253.015137	-64.860390
253.688049	-66.467476
254.360962	-64.856163
255.033875	-65.323769
255.706787	-64.710754
256.379700	-65.066399
257.052612	-63.436001
257.725525	-62.523991
258.398438	-63.425655
259.071350	-63.626133
259.744263	-62.932861
260.417175	-64.018089
261.090088	-61.240993
261.763000	-62.255375
262.435913	-61.179691
263.108826	-61.218033
263.781738	-61.946812
264.454651	-61.280842
265.127563	-60.467319
265.800476	-61.005974
266.473389	-61.112122
267.146301	-61.052414
267.819214	-60.434826
268.492126	-60.352509
269.165039	-57.756874
269.837952	-57.807766
270.510864	-58.659836
271.183777	-59.237465
271.856689	-58.601025
272.529602	-57.768723
273.202515	-58.851864
273.875427	-57.043686
274.548340	-59.278473
275.221252	-55.583130
275.894165	-57.539017
276.567078	-56.305599
277.239990	-59.009853
277.912903	-55.754429
278.585815	-55.824848
279.258728	-58.304165
279.931641	-58.661682
280.604553	-56.018070
281.277466	-58.154507
281.950378	-56.300743
282.623291	-57.427814
283.296204	-57.206409
283.969116	-57.709854
284.642029	-56.299206
285.314941	-57.891956
285.987854	-59.362835
286.660767	-58.028606
287.333679	-58.840313
288.006592	-60.227425
288.679504	-58.446793
289.352417	-61.516300
290.025330	-60.921574
290.698242	-60.996330
291.371155	-58.821251
292.044067	-61.915508
292.716980	-61.266682
293.389893	-61.688999
294.062805	-62.097649
294.735718	-62.910961
295.408630	-64.340599
296.081543	-62.691048
296.754456	-61.843822
297.427368	-61.647995
298.100281	-63.057056
298.773193	-62.038242
299.446106	-62.623745
300.119019	-60.722870
300.791931	-62.678192
301.464844	-61.044361
302.137756	-64.171974
302.810669	-62.951073
303.483582	-63.414192
304.156494	-63.409264
304.829407	-63.958965
305.502319	-64.712448
306.175232	-64.852203
306.848145	-63.052601
307.521057	-64.810165
308.193970	-62.428352
308.866882	-64.766869
309.539795	-66.356979
310.212708	-65.996536
310.885620	-64.795341
311.558533	-65.703651
312.231445	-65.916237
312.904358	-65.583397
313.577271	-69.272316
314.250183	-67.355659
314.923096	-67.080757
315.596008	-69.304253
316.268921	-67.510544
316.941833	-68.100113
317.614746	-64.770058
318.287659	-65.521492
318.960571	-68.206787
319.633484	-69.350609
320.306396	-67.752869
320.979309	-68.170197
321.652222	-67.415764
322.325134	-67.070671
322.998047	-69.834518
323.670959	-68.181923
324.343872	-69.385765
325.016785	-71.082458
325.689697	-69.449791
326.362610	-68.234962
327.035522	-69.631424
327.708435	-70.457458
328.381348	-70.686111
329.054260	-71.141655
329.727173	-71.150627
330.400085	-69.463608
331.072998	-68.226440
331.745911	-69.179344
332.418823	-71.959785
333.091736	-67.711197
333.764648	-68.242699
334.437561	-71.907433
335.110474	-69.261208
335.783386	-70.189384
336.456299	-70.890625
337.129211	-69.061150
337.802124	-69.227638
338.475037	-68.872108
339.147949	-71.018440
339.820862	-68.971008
340.493774	-69.150642
341.166687	-69.811829
341.839600	-69.550690
342.512512	-70.284157
343.185425	-69.326553
343.858337	-71.535751
344.531250	-71.416786
345.204163	-68.647110
345.877075	-71.128532
346.549988	-70.409981
347.222900	-72.104141
347.895813	-70.379013
348.568726	-69.300659
349.241638	-69.633751
