Frequency (Hz)	Level (dB)
195.144653	-67.439255
195.817566	-68.089386
196.490479	-67.659439
197.163391	-68.359131
197.836304	-66.889038
198.509216	-63.662708
199.182129	-65.297333
199.855042	-66.602554
200.527954	-67.388855
201.200867	-66.078568
201.873779	-63.262024
202.546692	-64.721741
203.219604	-67.296700
203.892517	-64.400154
204.565430	-64.377777
205.238342	-66.424980
205.911255	-63.910885
206.584167	-65.756340
207.257080	-65.634705
207.929993	-65.418793
208.602905	-62.221886
209.275818	-62.944008
209.948730	-62.716679
210.621643	-62.366184
211.294556	-62.520679
211.967468	-63.368362
212.640381	-63.112514
213.313293	-59.716324
213.986206	-64.035339
214.659119	-63.603214
215.332031	-60.783867
216.004944	-61.629944
216.677856	-61.291252
217.350769	-60.221542
218.023682	-63.175030
218.696594	-61.832375
219.369507	-58.950489
220.042419	-61.452991
220.715332	-62.231461
221.388245	-61.840092
222.061157	-59.129604
222.734070	-60.983009
223.406982	-58.995510
224.079895	-60.710384
224.752808	-62.147457
225.425720	-59.373093
226.098633	-60.891933
226.771545	-58.530331
227.444458	-58.850033
228.117371	-60.907536
228.790283	-59.978779
229.463196	-59.013393
230.136108	-59.202930
230.809021	-59.931408
231.481934	-60.517086
232.154846	-61.124973
232.827759	-63.770493
233.500671	-61.387741
234.173584	-62.550205
234.846497	-61.511539
235.519409	-62.914501
236.192322	-63.220181
236.865234	-62.258617
237.538147	-63.076969
238.211060	-63.231915
238.883972	-63.544247
239.556885	-64.396996
240.229797	-62.445568
240.902710	-62.997677
241.575623	-57.740891
242.248535	-61.136887
242.921448	-64.234673
243.594360	-65.827652
244.267273	-63.038574
244.940186	-63.477989
245.613098	-63.816441
246.286011	-63.908878
246.958923	-65.658440
247.631836	-64.905258
248.304749	-65.808456
248.977661	-66.506844
249.650574	-65.727791
250.323486	-66.081284
250.996399	-66.171745
251.669312	-67.080711
252.342224	-66.982315
253.015137	-66.453957
253.688049	-68.791595
254.360962	-66.713005
255.033875	-68.212181
255.706787	-68.044861
256.379700	-69.491096
257.052612	-66.477470
257.725525	-67.359726
258.398438	-66.871704
259.071350	-68.389137
259.744263	-68.070824
260.417175	-68.128738
261.090088	-66.764717
261.763000	-66.923294
262.435913	-69.383240
263.108826	-68.486076
263.781738	-67.529419
264.454651	-68.438263
265.127563	-68.860008
265.800476	-68.577309
266.473389	-70.903336
267.146301	-71.184189
267.819214	-68.587120
268.492126	-70.521904
269.165039	-66.782021
269.837952	-69.150940
270.510864	-70.862694
271.183777	-70.140350
271.856689	-70.241829
272.529602	-70.751442
273.202515	-71.225311
273.875427	-70.489532
274.548340	-70.634140
275.221252	-68.103371
275.894165	-71.209679
276.567078	-71.100395
277.239990	-72.040230
277.912903	-69.143074
278.585815	-69.454498
279.258728	-73.057549
279.931641	-71.792313
280.604553	-70.039574
281.277466	-71.613419
281.950378	-70.639977
282.623291	-71.261177
283.296204	-70.261238
283.969116	-69.498611
284.642029	-69.642944
285.314941	-70.845566
285.987854	-71.682236
286.660767	-70.546188
287.333679	-71.202705
288.006592	-72.132660
288.679504	-70.468605
289.352417	-72.234688
290.025330	-70.275551
290.698242	-71.592209
291.371155	-70.636925
292.044067	-72.857407
292.716980	-71.926933
293.389893	-73.266296
294.062805	-70.425491
294.735718	-72.042435
295.408630	-72.499252
296.081543	-72.374474
296.754456	-70.602654
297.427368	-69.856644
298.100281	-71.039070
298.773193	-72.308678
299.446106	-73.952019
300.119019	-71.505157
300.791931	-74.111603
301.464844	-70.518272
302.137756	-71.900558
302.810669	-72.872917
303.483582	-73.129700
304.156494	-73.954880
304.829407	-75.174103
305.502319	-72.514336
306.175232	-71.967537
306.848145	-73.211800
307.521057	-74.641380
308.193970	-70.504395
308.866882	-72.884377
309.539795	-72.635353
310.212708	-71.830254
310.885620	-71.702812
311.558533	-72.708336
312.231445	-73.680916
312.904358	-72.381889
313.577271	-72.433258
314.250183	-72.013321
314.923096	-72.593239
315.596008	-72.417320
316.268921	-72.471062
316.941833	-72.312889
317.614746	-69.986610
318.287659	-70.683975
318.960571	-73.804848
319.633484	-73.648895
320.306396	-73.649849
320.979309	-72.160561
321.652222	-71.976631
322.325134	-73.295746
322.998047	-73.045341
323.670959	-73.386261
324.343872	-73.709427
325.016785	-74.520065
325.689697	-71.866119
326.362610	-72.224945
327.035522	-73.538933
327.708435	-74.705521
328.381348	-74.565178
329.054260	-74.444290
329.727173	-75.344620
330.400085	-74.076614
331.072998	-72.848579
331.745911	-72.362892
332.418823	-75.841568
333.091736	-71.802177
333.764648	-71.743683
334.437561	-74.047569
335.110474	-72.812462
335.783386	-72.594589
336.456299	-73.454964
337.129211	-71.746017
337.802124	-72.477867
338.475037	-71.491768
339.147949	-74.295799
339.820862	-72.863495
340.493774	-71.488068
341.166687	-72.871124
341.839600	-72.344475
342.512512	-73.085304
343.185425	-73.531914
343.858337	-73.622513
344.531250	-74.919983
345.204163	-71.272545
345.877075	-72.900932
346.549988	-72.277718
347.222900	-74.409538
347.895813	-72.791611
348.568726	-72.807533
349.241638	-71.963913
349.914551	-72.787109
350.587463	-73.561584
351.260376	-73.373573
351.933289	-71.785378
352.606201	-71.084770
353.279114	-71.724289
353.952026	-73.081253
354.624939	-72.814079
355.297852	-72.580025
355.970764	-73.443581
356.643677	-72.277107
357.316589	-72.684532
357.989502	-73.009254
358.662415	-71.415230
359.335327	-71.210190
360.008240	-71.801170
360.681152	-71.500351
361.354065	-74.238892
362.026978	-73.130852
362.699890	-73.002296
363.372803	-73.028389
364.045715	-73.075874
364.718628	-72.537697
365.391541	-73.882446
366.064453	-74.274467
366.737366	-74.155991
367.410278	-72.541145
368.083191	-72.787971
368.756104	-73.008324
369.429016	-71.869133
370.101929	-74.233673
370.774841	-72.854408
371.447754	-71.969498
372.120667	-72.373528
372.793579	-71.481956
373.466492	-72.189552
374.139404	-71.657654
374.812317	-70.793114
375.485229	-72.262093
376.158142	-71.674484
376.831055	-69.916740
377.503967	-70.693871
378.176880	-71.240723
378.849792	-73.022293
379.522705	-71.938332
380.195618	-72.859314
380.868530	-70.445656
381.541443	-69.216301
382.214355	-69.623573
382.887268	-71.564583
383.560181	-71.292557
384.233093	-69.673042
384.906006	-69.878899
385.578918	-72.772957
386.251831	-72.411659
386.924744	-72.217369
387.597656	-70.434921
388.270569	-67.478104
388.943481	-68.209541
389.616394	-71.502357
390.289307	-71.682808
390.962219	-69.157562
