Frequency (Hz)	Level (dB)
195.144653	-75.747192
195.817566	-77.374748
196.490479	-76.782631
197.163391	-77.537056
197.836304	-75.902756
198.509216	-72.797112
199.182129	-74.068481
199.855042	-76.529198
200.527954	-76.934364
201.200867	-75.049995
201.873779	-73.130653
202.546692	-74.645576
203.219604	-77.361511
203.892517	-74.599838
204.565430	-74.284386
205.238342	-76.971298
205.911255	-74.802063
206.584167	-76.111671
207.257080	-76.427826
207.929993	-76.503242
208.602905	-73.302795
209.275818	-74.085938
209.948730	-73.645485
210.621643	-73.455757
211.294556	-72.535324
211.967468	-74.295815
212.640381	-74.682343
213.313293	-72.176720
213.986206	-75.943367
214.659119	-75.599182
215.332031	-72.610283
216.004944	-73.440758
216.677856	-73.443871
217.350769	-72.727104
218.023682	-75.540642
218.696594	-73.986641
219.369507	-71.546135
220.042419	-74.355370
220.715332	-75.468857
221.388245	-74.085037
222.061157	-71.389175
222.734070	-72.858101
223.406982	-71.288429
224.079895	-73.154495
224.752808	-74.488495
225.425720	-71.250626
226.098633	-71.932671
226.771545	-69.531181
227.444458	-70.532265
228.117371	-72.129761
228.790283	-70.652161
229.463196	-69.712051
230.136108	-69.016823
230.809021	-69.630035
231.481934	-70.252731
232.154846	-70.768524
232.827759	-72.489258
233.500671	-70.188606
234.173584	-71.297806
234.846497	-69.939278
235.519409	-70.902412
236.192322	-70.292305
236.865234	-69.531311
237.538147	-69.711197
238.211060	-70.265160
238.883972	-69.553291
239.556885	-70.586349
240.229797	-68.938766
240.902710	-68.093918
241.575623	-65.099915
242.248535	-65.230553
242.921448	-67.454071
243.594360	-69.012741
244.267273	-66.247536
244.940186	-66.359764
245.613098	-66.419167
246.286011	-65.773819
246.958923	-67.735321
247.631836	-67.046204
248.304749	-66.542435
248.977661	-67.658188
249.650574	-66.130783
250.323486	-66.505371
250.996399	-66.244812
251.669312	-67.073921
252.342224	-66.008591
253.015137	-65.752144
253.688049	-67.207382
254.360962	-64.741219
255.033875	-66.179283
255.706787	-65.720512
256.379700	-67.090286
257.052612	-63.452732
257.725525	-63.729435
258.398438	-63.476513
259.071350	-64.648010
259.744263	-63.612217
260.417175	-64.194565
261.090088	-62.194622
261.763000	-61.764610
262.435913	-64.185455
263.108826	-63.868717
263.781738	-62.250793
264.454651	-63.171650
265.127563	-63.043140
265.800476	-62.843132
266.473389	-65.143318
267.146301	-64.895691
267.819214	-62.392406
268.492126	-63.948269
269.165039	-60.981068
269.837952	-62.853436
270.510864	-64.538628
271.183777	-64.030472
271.856689	-63.873516
272.529602	-64.516998
273.202515	-64.928276
273.875427	-64.865570
274.548340	-65.049294
275.221252	-62.328304
275.894165	-65.620377
276.567078	-65.486984
277.239990	-67.266495
277.912903	-63.257019
278.585815	-63.734444
279.258728	-67.466736
279.931641	-66.941261
280.604553	-64.734879
281.277466	-66.088303
281.950378	-65.606850
282.623291	-65.848152
283.296204	-65.309807
283.969116	-64.594063
284.642029	-64.913383
285.314941	-65.630989
285.987854	-67.115929
286.660767	-65.984253
287.333679	-67.088112
288.006592	-68.245773
288.679504	-66.587563
289.352417	-68.359200
290.025330	-66.644699
290.698242	-68.364601
291.371155	-66.885490
292.044067	-69.541603
292.716980	-68.676796
293.389893	-69.805290
294.062805	-67.438171
294.735718	-68.793793
295.408630	-70.077866
296.081543	-69.247925
296.754456	-67.783318
297.427368	-67.228416
298.100281	-68.413597
298.773193	-69.753815
299.446106	-71.598999
300.119019	-69.188950
300.791931	-71.688026
301.464844	-68.124969
302.137756	-69.927551
302.810669	-70.461464
303.483582	-71.347488
304.156494	-71.937592
304.829407	-73.677147
305.502319	-70.964607
306.175232	-70.982407
306.848145	-71.408669
307.521057	-72.798256
308.193970	-68.884865
308.866882	-72.096764
309.539795	-71.593414
310.212708	-70.665886
310.885620	-70.351120
311.558533	-71.545311
312.231445	-72.784943
312.904358	-71.613037
313.577271	-71.768723
314.250183	-71.280884
314.923096	-72.458000
315.596008	-71.357864
316.268921	-72.368073
316.941833	-71.722237
317.614746	-69.536499
318.287659	-70.126961
318.960571	-73.036011
319.633484	-73.364601
320.306396	-73.351181
320.979309	-72.305107
321.652222	-72.169998
322.325134	-72.928391
322.998047	-73.159416
323.670959	-73.416069
324.343872	-73.974556
325.016785	-74.495575
325.689697	-72.220749
326.362610	-73.031647
327.035522	-74.740410
327.708435	-75.525124
328.381348	-75.194809
329.054260	-75.047745
329.727173	-75.750595
330.400085	-75.024223
331.072998	-73.870171
331.745911	-73.302994
332.418823	-76.609009
333.091736	-73.047836
333.764648	-72.788124
334.437561	-75.210670
335.110474	-74.551895
335.783386	-74.095718
336.456299	-74.625252
337.129211	-73.110298
337.802124	-74.043877
